name,address,phone,website,rating,reviewsCount,category,hours,reviews,isSponsored,url
"Ayansh Real Estate Advisors","C223 Ground Floor, Sushant Lok, Block C, Gurugram, Haryana 122009","095997 71632","https://mailchi.mp/55cced8a3007/untitled-page","5","5","Real estate consultant","Wednesday10 am–7 pm","","false","https://www.google.com/maps/place/Ayansh+Real+Estate+Advisors/@28.4645277,77.0695118,16z/data=!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d1920689c8c35:0x3941f2eeaf05081d!8m2!3d28.4548396!4d77.0805814!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDNaKSIncmVhbCBlc3RhdGUgZGV2ZWxvcGVyIGd1cmdhb24gc2VjdG9yIDQzkgEWcmVhbF9lc3RhdGVfY29uc3VsdGFudJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VONExWazNTM2xSUlJBQuABAPoBBAgAED4!16s%2Fg%2F11rvgnc6fy"
"Omega Real Estate","G, 117, Sushant Lok 1 Rd, Block A, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122002","098100 72530","","","0","Real estate agency","WednesdayOpen 24 hours","","false","https://www.google.com/maps/place/Omega+Real+Estate/@28.4645277,77.0695118,16z/data=!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d18e195deaaab:0x72987dfda6a9269a!8m2!3d28.4702971!4d77.0750414!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDOSARJyZWFsX2VzdGF0ZV9hZ2VuY3ngAQA!16s%2Fg%2F11ty7f79jt"
"DLF Aralias","Golf Dr, DLF Golf Course, Sector 42, Gurugram, Haryana 122009","093550 23125","","4.6","4","Condominium complex","Wednesday9 am–7:30 pm","","false","https://www.google.com/maps/place/DLF+Aralias/@28.4645277,77.0695118,16z/data=!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d1f36c02d55d7:0x7ba9ae318f9fa1a3!8m2!3d28.4592173!4d77.1031899!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDNaKSIncmVhbCBlc3RhdGUgZGV2ZWxvcGVyIGd1cmdhb24gc2VjdG9yIDQzkgETY29uZG9taW5pdW1fY29tcGxleJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOd00wOXRNVlZSRUFF4AEA-gEECAAQJw!16s%2Fg%2F11b6t6t3n6"
"Soni's B524","B-BLOCK, Block B, Sector 43, Gurugram, Haryana 122009","","","5","5","Housing development","","","false","https://www.google.com/maps/place/Soni's+B524/@28.4592173,77.0936627,16z/data=!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d19000ef41563:0x75478441937c2996!8m2!3d28.4623921!4d77.0772715!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDOSARNob3VzaW5nX2RldmVsb3BtZW504AEA!16s%2Fg%2F11ldx2w625"
"B Block, Sushant Lok 1, Gate no 8","F35H+W4V, Shushant Marg, Block B, Sector 43, Gurugram, Haryana 122009","","","3.9","3","Housing society","Wednesday6 am–11 pm","","false","https://www.google.com/maps/place/B+Block,+Sushant+Lok+1,+Gate+no+8/@28.4623921,77.0677443,16z/data=!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d19555a6f553d:0xc1b3d8a6f12e17b7!8m2!3d28.4598557!4d77.0778056!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDOSAQ9ob3VzaW5nX3NvY2lldHngAQA!16s%2Fg%2F11nxwwx_g9"
"D200","Whispering Meadows, D-200, Sector 43 Service Rd, D Block, PWO Appartments, Sector 43, Gurugram, Haryana 122009","084528 45488","","5","5","Housing society","","","false","https://www.google.com/maps/place/D200/@28.4623921,77.0677443,16z/data=!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d19002ae92f05:0x8814b6f02659eccd!8m2!3d28.4571143!4d77.0747894!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDOSAQ9ob3VzaW5nX3NvY2lldHngAQA!16s%2Fg%2F11vxqn5nmp"
"Sushant Lok-1","Sector 68, Gurgaon, Block C2, DLF Garden Villas, Sector 43, Gurugram, Haryana 122009","0124 331 4764","","4","4","Housing development","","","false","https://www.google.com/maps/place/Sushant+Lok-1/@28.4623921,77.0677443,16z/data=!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d18c157b4c1d3:0xe2a410d3b9dee9c0!8m2!3d28.457337!4d77.087106!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDOSARNob3VzaW5nX2RldmVsb3BtZW504AEA!16s%2Fg%2F1tcvggn2"
"Ajmera Estate Realty & Legal","FF-20 SVK, Metro Station, near Millenium City Centre, opposite Marriot Courtyard, Sec-43, Block C, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","099107 66511","https://www.ajmeraestate.com/","5","5","Real estate consultant","Wednesday10 am–7 pm","","false","https://www.google.com/maps/place/Ajmera+Estate+Realty+%26+Legal/@28.4623921,77.0677443,16z/data=!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d18c33e878315:0x476f0e30a6f49cee!8m2!3d28.4508091!4d77.0786611!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDNaKSIncmVhbCBlc3RhdGUgZGV2ZWxvcGVyIGd1cmdhb24gc2VjdG9yIDQzkgEWcmVhbF9lc3RhdGVfY29uc3VsdGFudOABAA!16s%2Fg%2F12hk722cg"
"Raha’s Residence","A1063, Block A, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","","","5","5","Housing society","","","false","https://www.google.com/maps/place/Raha%E2%80%99s+Residence/@28.4623921,77.0677443,16z/data=!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d190019c00527:0x805bb1d2abd98f30!8m2!3d28.4690159!4d77.0785971!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDOSAQ9ob3VzaW5nX3NvY2lldHngAQA!16s%2Fg%2F11wr64hszv"
"Home 2","144, B Block Dr, Sushant Lok Phase I, Sector 43, Gurugram, Haryana 122009","","","","0","Housing development","","","false","https://www.google.com/maps/place/Home+2/@28.4623921,77.0677443,16z/data=!4m10!1m2!2m1!1sReal+estate+developer+Gurgaon+Sector+43!3m6!1s0x390d19e9b8cbca5b:0x88ab6d196b7ca2b1!8m2!3d28.4599992!4d77.0770801!15sCidSZWFsIGVzdGF0ZSBkZXZlbG9wZXIgR3VyZ2FvbiBTZWN0b3IgNDOSARNob3VzaW5nX2RldmVsb3BtZW504AEA!16s%2Fg%2F11kb9cyvdv"
